ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001628280-24-013828	/s/ Karen A. Foster	29-MAR-2024
0001517375-24-000039	/s/ Heidi Jonas, Attorney-in-fact for Justyn R. Howard	29-MAR-2024
0001415889-24-009447	/s/ Peter Kolchinsky, Manager of RA Capital Healthcare Fund GP, LLC the General Partner of RA Capital Healthcare Fund, L.P.	29-MAR-2024
0001415889-24-009447	/s/ Peter Kolchinsky, Manager of RA Capital Management, L.P.	29-MAR-2024
0001415889-24-009447	/s/ Rajeev Shah, individually	29-MAR-2024
0001415889-24-009447	/s/ Peter Kolchinsky, Manager of RA Capital Nexus Fund GP, LLC the General Partner of RA Capital Nexus Fund, L.P.	29-MAR-2024
0001415889-24-009447	/s/ Peter Kolchinsky, individually	29-MAR-2024
0000072903-24-000063	Krisitin L. Westlund, Attorney in Fact for Richard T. O'Brien	29-MAR-2024
0001593968-24-000508	/s/By POA from Dennis L Brand	29-MAR-2024
0000072903-24-000061	Kristin L. Westlund, Attorney in Fact for Patricia Kampling	29-MAR-2024
0000947871-24-000328	/s/ Wenjuan Mattis	29-MAR-2024
0000072903-24-000059	Kristin L. Westlund, Attorney in Fact for Lynn Casey	29-MAR-2024
0000947871-24-000327	/s/ Yeelong Balladon	29-MAR-2024
0001213900-24-028096	/s/ Christian Gates by power of attorney	29-MAR-2024
0001213900-24-028095	/s/ Christian Gates by power of attorney	29-MAR-2024
0000920148-24-000023	/s/ Sandra D. van der Vaart, Attorney-in-Fact for Mark S. Schroeder	29-MAR-2024
0001213900-24-028094	/s/ Christian Gates by power of attorney	29-MAR-2024
0001213900-24-028093	/s/ Christian Gates by power of attorney	29-MAR-2024
0000072903-24-000057	Kristin L. Westlund, Attorney in Fact for Megan D. Burkhart	29-MAR-2024
0001213900-24-028092	/s/ Christian Gates by power of attorney	29-MAR-2024
0001213900-24-028091	/s/ Christian Gates by power of attorney	29-MAR-2024
0000947871-24-000326	/s/ Michael Stanley Whittingham	29-MAR-2024
0001628280-24-013824	/s/ David Myers, Attorney-in-Fact	29-MAR-2024
0001209191-24-005135	/s/ Erin Goodsell, as Attorney-in-Fact	29-MAR-2024
0001127602-24-011466	/s/ Debra Rouse, attorney-in-fact for John Taylor Maloney Fitzgerald	29-MAR-2024
0000897069-24-000800	/s/ Vincent Carrubba	29-MAR-2024
0001127602-24-011465	/s/ Neal Nackman	29-MAR-2024
0000947871-24-000325	/s/ Wei Ying	29-MAR-2024
0001127602-24-011463	/s/ Jeffrey Goldfarb	29-MAR-2024
0000950170-24-038762	/s/ David Leeb, Attorney-in-Fact	29-MAR-2024
0000920148-24-000022	/s/ Sandra D. van der Vaart, Attorney-in-Fact for Adam H. Schechter	29-MAR-2024
0001127602-24-011461	/s/ Sammy Aaron	29-MAR-2024
0000947871-24-000324	/s/ Arthur Lap Tat Wong	29-MAR-2024
0000950170-24-038759	/s/ David Leeb, Attorney-in-Fact	29-MAR-2024
0001127602-24-011459	/s/ Morris Goldfarb	29-MAR-2024
0001127602-24-011458	/s/ Amy Kim by Power of Attorney for Kevin E. Lofton	29-MAR-2024
0000947871-24-000323	/s/ Stephen A Vogel	29-MAR-2024
0000920148-24-000021	/s/ Sandra D. van der Vaart, Attorney-in-Fact for Jonathan P. DiVincenzo	29-MAR-2024
0000950170-24-038756	/s/ Andrew Hack	29-MAR-2024
0000933136-24-000031	/s/Katherine K. Connell, Attorney-in-Fact	29-MAR-2024
0001437749-24-010117	/s/ Edward Shensky	29-MAR-2024
0001437749-24-010116	/s/ Brad Berman	29-MAR-2024
0001437749-24-010115	/s/ Ira Goldfarb	29-MAR-2024
0001104659-24-041222	/s/ Shaun Marklew	29-MAR-2024
0001437749-24-010114	/s/ Claudia Goldfarb	29-MAR-2024
0000921895-24-000750	/s/ Clifford Sosin	29-MAR-2024
0001008886-24-000100	/s/ John N. Nunnelly, by Heidi Hornung-Scherr, attorney-in-fact, pursuant to a POA previously filed with the SEC	29-MAR-2024
0000920148-24-000020	/s/ Sandra D. van der Vaart, Attorney-in-Fact for Peter J. Wilkinson	29-MAR-2024
0001104659-24-041205	/s/ Adam D. Portnoy	29-MAR-2024
0001104659-24-041204	/s/ Jennifer B. Clark	29-MAR-2024
0001104659-24-041198	/s/ Walter C. Watkins, Jr.	29-MAR-2024
0001415889-24-009445	/s/ Shane Kovacs, Attorney-in-Fact	29-MAR-2024
0000950170-24-038742	By: /s/ Todd Carpenter, Attorney-in-Fact	29-MAR-2024
0000950170-24-038741	By: /s/ Todd Carpenter	29-MAR-2024
0001104659-24-041194	/s/ Rosen Plevneliev	29-MAR-2024
0000920148-24-000019	/s/ Sandra D. van der Vaart, Attorney-in-Fact for Amy B. Summy	29-MAR-2024
0001104659-24-041192	/s/ Jonathan Veitch	29-MAR-2024
0001104659-24-041191	/s/ Ann Logan	29-MAR-2024
0001610717-24-000197	/s/ Jack Anders, as Attorney-in-fact for Wei Lin	29-MAR-2024
0000935836-24-000326	/s/ Joan L. Grant as Attoney-in-fact for Bradley J. Haas	29-MAR-2024
0000912242-24-000039	Edward C. Coppola	29-MAR-2024
0001493152-24-012014	/s/ Maria Zannes, as attorney-in-fact for Steven Girgenti	29-MAR-2024
0002001011-24-000037	By: /s/ Charles S. Berkman, Attorney-in-Fact For: Matthew W. Foehr	29-MAR-2024
0000950170-24-038731	By: /s/ Scott Bizily	29-MAR-2024
0001493152-24-012011	/s/ Maria Zannes, as attorney-in-fact Robert Anderson	29-MAR-2024
0000950170-24-038727	/s/ Alex Finkelstein	29-MAR-2024
0001437749-24-010098	/s/ Cameron Williams	29-MAR-2024
0000920148-24-000018	/s/ Sandra D. van der Vaart, Attorney-in-Fact for Glenn A. Eisenberg	29-MAR-2024
0001104659-24-041175	/s/ Bryan Phillips, Attorney-in-Fact for Marilyn Carlson Nelson	29-MAR-2024
0001127602-24-011455	/s/ Sarah Dale, Attorney-in-Fact for Marc Benioff	29-MAR-2024
0000811532-24-000066	/s/ Brian Nurse	29-MAR-2024
0000811532-24-000065	/s/ Charles Myers	29-MAR-2024
0000811532-24-000064	/s/ David R. Hoffman	29-MAR-2024
0000950170-24-038721	/s/ Nathan McConarty, attorney-in-fact	29-MAR-2024
0000811532-24-000063	/s/ Monica Sauls	29-MAR-2024
0000811532-24-000062	/s/ Tim Fisher	29-MAR-2024
0001585689-24-000078	/s/ Owen L. Wilcox, Attorney-in-Fact	29-MAR-2024
0000811532-24-000061	/s/ Richard A. Zimmerman	29-MAR-2024
0000811532-24-000060	/s/ Brian C. Witherow	29-MAR-2024
0001585689-24-000077	/s/ Owen L. Wilcox, Attorney-in-Fact	29-MAR-2024
0001585689-24-000076	/s/ Owen L. Wilcox, Attorney-in-Fact	29-MAR-2024
0001683168-24-001889	/s/ Pol Sikar	29-MAR-2024
0001585689-24-000075	/s/ Owen L. Wilcox, Attorney-in-Fact	29-MAR-2024
0001585689-24-000074	/s/ Owen L. Wilcox, Attorney-in-Fact	29-MAR-2024
0001585689-24-000073	/s/ Owen L. Wilcox, Attorney-in-Fact	29-MAR-2024
0000016918-24-000029	/s/ Brian Bennett, Attorney-in-fact	29-MAR-2024
0001585689-24-000072	/s/ Owen L. Wilcox, Attorney-in-Fact	29-MAR-2024
0001437749-24-010092	/s/ Emmanuel Alia	29-MAR-2024
0001585689-24-000071	/s/ Owen L. Wilcox, Attorney-in-Fact	29-MAR-2024
0000950142-24-000832	/s/ Mitchell C. Sussis, attorney-in-fact	29-MAR-2024
