ACCESSION_NUMBER	NONDERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001493152-22-024880	6169557	Ordinary Shares		31-AUG-2022				4	M	0				62950.0			F1	A		1762482.0				D			
0001062993-22-019038	6167816	Common Stock		30-AUG-2022				4	A	0				223.0	F1	0.0		A		76679.0				D			
0001062993-22-019036	6169601	Common Stock		30-AUG-2022				4	A	0				223.0	F1	0.0		A		42666.0				D			
0001437749-22-021709	6169330	Common Stock		31-AUG-2022				4	A	0				305292.0	F1	0.0		A		1136504.0				D			
0001398344-22-017866	6167885	Common Stock		30-AUG-2022				4	P	0				2262.0		0.0	F4	A		2427394.0	F3, F2, F1			D			
0001437749-22-021708	6168561	Common Stock		31-AUG-2022				4	A	0				101764.0	F1	0.0		A		327522.0				D			
0001209191-22-048347	6169066	Common Stock		01-SEP-2022				4	A	0				5000.0	F1	0.0		A		33723.0				D			
0001062993-22-019027	6169400	Common Stock		30-AUG-2022				4	A	0				223.0	F1	0.0		A		2092.0				D			
0001127602-22-021922	6168507	Common Stock		01-SEP-2022				4	S	0	F1			4166.0		52.79		D		12170.0				D			
0001127602-22-021922	6168506	Common Stock		01-SEP-2022				4	M	0	F1			4166.0		6.78		A		16336.0				D			
0001127602-22-021921	6169460	Common Stock		30-AUG-2022				4	A	0				14204.0	F1	0.0		A		47900.0	F2			D			
0001062993-22-019025	6169150	Common Stock		30-AUG-2022				4	A	0				223.0	F1	0.0		A		6623.0				D			
0001437749-22-021706	6167826	Common Stock		31-AUG-2022				4	A	0				67843.0	F1	0.0		A		159500.0				D			
0001127602-22-021919	6169154	Common Stock		01-SEP-2022				4	M	0				20000.0		41.53		A		2022708.0				D			
0001437749-22-021705	6169260	Common Stock		31-AUG-2022				4	A	0				28494.0	F1	0.0		A		116275.0				D			
0000921895-22-002608	6168827	Common Stock		01-SEP-2022				4	S	0				1871.0		7.0	F2	D		2587.0				D			
0000921895-22-002608	6168826	Common Stock		30-AUG-2022				4	S	0				6963.0		7.0	F1	D		4458.0				D			
0001437749-22-021703	6167888	Common Stock		31-AUG-2022				4	P	0				4701.0		52.92		A		34304.0				I		By limited liability company	
0001062993-22-019021	6168745	Common Stock		31-AUG-2022				4	F	0				2612.87		262.97		D		96858.0	F1			D			
0001371285-22-000210	6168228	Common Stock		29-AUG-2022				4	S	0	F1			4000.0		69.34	F2	D		861109.0				I		By Kuyashii Primary Equities LLC	
0001062993-22-019019	6168774	Common Stock		31-AUG-2022				4	A	0				59462.0	F1	0.0		A		641644.93				D			
0001062993-22-019019	6168775	Common Stock		31-AUG-2022				4	F	0				29416.59		262.97		D		612305.46	F2			D			
0001062993-22-019019	6168773	Common Stock		30-AUG-2022				4	F	0				1557.92		265.23		D		582182.93				D			
0001209191-22-048336	6168362	Common Stock		01-SEP-2022				4	S	0	F1			750.0		30.48	F2	D		64265.0				D			
0000950103-22-015145	6169268	Class A Common Stock		30-AUG-2022				4	S	0	F1			342.0		160.24		D		23322.0				D			
0001062993-22-019017	6168882	Common Stock		31-AUG-2022				4	A	0				4162.0	F1	0.0		A		65674.15				D			
0001062993-22-019017	6168881	Common Stock		31-AUG-2022				4	F	0				505.9		262.97		D		61512.15				D			
0001062993-22-019017	6168883	Common Stock		31-AUG-2022				4	A	0				1798.0	F2	0.0		A		67472.15				D			
0001062993-22-019017	6168880	Common Stock		30-AUG-2022				4	F	0				84.36		265.23		D		62018.05				D			
0001567619-22-016954	6169575	Common Stock		01-SEP-2022				4	P	0				701.0		22.9		A		40843.0	F1			D			
0001062993-22-019015	6168700	Common Stock		12-AUG-2022				5	G	0				52.0		0.0		D		856151.45				D			
0001062993-22-019015	6168698	Common Stock		31-AUG-2022				4	F	0				70448.59		262.97		D		896569.45				D			
0001062993-22-019015	6168699	Common Stock		11-AUG-2022				5	G	0				40366.0		0.0		D		856203.45				D			
0001062993-22-019015	6168696	Common Stock		30-AUG-2022				4	F	0		E		4205.21		265.23		D		805440.04				D			
0001062993-22-019015	6168697	Common Stock		31-AUG-2022				4	A	0		E		161578.0	F1	0.0		A		967018.04				D			
0000899243-22-030212	6168105	Common Stock		31-AUG-2022				4	S	0	F1			2122.0		154.41		D		139249.0	F2			D			
0000899243-22-030212	6168106	Common Stock		31-AUG-2022				4	S	0	F1			2064.0		154.41		D		137185.0	F2			D			
0001831840-22-000055	6169388	Class A Common Stock		30-AUG-2022				4	C	0				40000.0		0.0		A		182421.0	F1			D			
0001831840-22-000055	6169389	Class A Common Stock		30-AUG-2022				4	S	0				40000.0		12.06	F2	D		142421.0	F1			D			
0001062993-22-019013	6168304	Common Stock		30-AUG-2022				4	F	0				1999.33		265.23		D		484223.73				D			
0001062993-22-019013	6168305	Common Stock		31-AUG-2022				4	A	0				72387.0	F1	0.0		A		556610.73				D			
0001062993-22-019013	6168306	Common Stock		31-AUG-2022				4	F	0				35400.33		262.97		D		521210.4				D			
0001062993-22-019011	6168562	Common Stock		30-AUG-2022				4	F	0		E		757.76		265.23		D		191718.12				D			
0001062993-22-019011	6168565	Common Stock		11-AUG-2022				5	G	0				261.0		0.0		D		206445.6				D			
0001062993-22-019011	6168564	Common Stock		31-AUG-2022				4	F	0				14096.52		262.97		D		206706.6				D			
0001062993-22-019011	6168563	Common Stock		31-AUG-2022				4	A	0				29085.0	F1	0.0		A		220803.12				D			
0000899243-22-030210	6169459	Common Stock		31-AUG-2022				4	S	0	F1			1789.0		154.41		D		67183.0	F2			D			
0000899243-22-030210	6169458	Common Stock		31-AUG-2022				4	S	0	F1			1795.0		154.41		D		68972.0	F2			D			
0001062993-22-019009	6169450	Common Stock		30-AUG-2022				4	F	0				829.5		265.23		D		99090.75				D			
0001062993-22-019009	6169452	Common Stock		31-AUG-2022				4	F	0				14314.75		262.97		D		114836.73	F2			D			
0001062993-22-019009	6169451	Common Stock		31-AUG-2022				4	A	0				30054.0	F1	0.0		A		129144.75				D			
0000899243-22-030209	6168569	Common Stock		31-AUG-2022				4	S	0	F1			555.0		154.41		D		59604.0	F2			D			
0000899243-22-030209	6168568	Common Stock		31-AUG-2022				4	S	0	F1			578.0		154.41		D		60159.0	F2			D			
0000921895-22-002607	6168232	Common Stock		01-SEP-2022				4	P	0				1000.0		1.08		A		63400.0				D			
0000921895-22-002607	6168231	Common Stock		31-AUG-2022				4	P	0				1000.0		1.07		A		62400.0				D			
0000921895-22-002607	6168230	Common Stock		30-AUG-2022				4	P	0				1900.0		1.08		A		61400.0				D			
0001062993-22-019007	6169199	Common Stock		30-AUG-2022				4	F	0				1170.99		265.23		D		124676.67				D			
0001062993-22-019007	6169201	Common Stock		31-AUG-2022				4	F	0				20815.53		262.97		D		146195.14				D			
0001062993-22-019007	6169200	Common Stock		31-AUG-2022				4	A	0				42334.0	F1	0.0		A		167010.67				D			
