ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0000939767-22-000042	2271297	Option (right to buy)		3.13		04-APR-2022				4	M	0				40000.0				0.0		D		28-MAY-2015	F4	27-MAY-2022		Common Stock		40000.0				0.0				D			
0000899243-22-014167	2271306	Option (Right to Buy)		8.22		04-APR-2022				4	A	0				26880.0				0.0		A			F1	04-APR-2032		Common Stock		26880.0				26880.0				D			
0001104659-22-043340	2271249	Stock Options		2.25		05-APR-2022				4	M	0				32931.0				0.0		D			F3	19-JUN-2026		Common Stock		32931.0				164655.0				D			
0001082440-22-000007	2271407	Restricted Stock Units			F1	30-JAN-2022				4	M	0				98750.0				0.0		D			F2		F2	Common Stock		98750.0				0.0				D			
0001082440-22-000007	2271408	Restricted Stock Units			F1	26-MAR-2022				4	M	0				49375.0				0.0		D			F3		F3	Common Stock		49375.0				0.0				D			
0000921638-22-000095	2271334	Performance Share Units	F3		F4	04-APR-2022				4	A	0				21.0				0.0		A		07-MAR-2025			F4	Common Shares		21.0				6259.0				D			
0000921638-22-000094	2271315	Performance Share Units	F3		F4	04-APR-2022				4	A	0				61.0				0.0		A		01-JAN-2023			F4	Common Shares		61.0				18824.0				D			
0000921638-22-000094	2271317	Performance Share Units	F3		F6	04-APR-2022				4	A	0				85.0				0.0		A		07-MAR-2025			F6	Common Shares		85.0				24958.0				D			
0000921638-22-000094	2271316	Performance Share Units	F3		F5	04-APR-2022				4	A	0				74.0				0.0		A		01-JAN-2024			F5	Common Shares		74.0				21868.0				D			
0000921638-22-000093	2271213	Performance Share Units	F3		F5	04-APR-2022				4	A	0				79.0				0.0		A		01-JAN-2024			F5	Common Shares		79.0				23293.0				D			
0000921638-22-000093	2271214	Performance Share Units	F3		F6	04-APR-2022				4	A	0				87.0				0.0		A		07-MAR-2025			F6	Common Shares		87.0				25706.0				D			
0000921638-22-000093	2271212	Performance Share Units	F3		F4	04-APR-2022				4	A	0				72.0				0.0		A		01-JAN-2023			F4	Common Shares		72.0				22246.0				D			
0000921638-22-000092	2271423	Performance Share Units	F3		F4	04-APR-2022				4	A	0				167.0				0.0		A		01-JAN-2024			F4	Common Shares		167.0				49099.0				D			
0000921638-22-000092	2271424	Performance Share Units	F3		F5	04-APR-2022				4	A	0				89.0				0.0		A		07-MAR-2025			F5	Common Shares		89.0				26205.0				D			
0000921638-22-000091	2271206	Performance Share Units	F3		F4	04-APR-2022				4	A	0				89.0				0.0		A		01-JAN-2023			F4	Common Shares		89.0				27618.0				D			
0000921638-22-000091	2271207	Performance Share Units	F3		F5	04-APR-2022				4	A	0				98.0				0.0		A		01-JAN-2024			F5	Common Shares		98.0				28841.0				D			
0000921638-22-000091	2271208	Performance Share Units	F3		F6	04-APR-2022				4	A	0				109.0				0.0		A		07-MAR-2025			F6	Common Shares		109.0				32029.0				D			
0000921638-22-000090	2271426	Performance Share Units	F3		F5	04-APR-2022				4	A	0				301.0				0.0		A		01-JAN-2024			F5	Common Shares		301.0				88619.0				D			
0000921638-22-000090	2271427	Performance Share Units	F3		F6	04-APR-2022				4	A	0				340.0				0.0		A		07-MAR-2025			F6	Common Shares		340.0				99832.0				D			
0000921638-22-000090	2271425	Performance Share Units	F3		F4	04-APR-2022				4	A	0				258.0				0.0		A		01-JAN-2023			F4	Common Shares		258.0				79860.0				D			
0001695434-22-000007	2271292	Restricted Stock Units			F1	04-APR-2022				4	A	0				10000.0				0.0		A			F2		F2	Common Stock		10000.0				10000.0				D			
0001695434-22-000007	2271293	Restricted Stock Units			F1	05-APR-2022				4	M	0				13334.0				0.0		D			F3		F3	Common Stock		13334.0				26666.0				D			
0001125376-22-000058	2271233	Employee Stock Option (right to buy)		21.39		04-APR-2022				4	M	0	F1			10618.0				0.0		D		30-JUL-2016	F9	30-JUL-2025		Common Stock		10618.0				0.0				D			
0001125376-22-000058	2271234	Employee Stock Option (right to buy)		15.93		04-APR-2022				4	M	0	F1			5899.0				0.0		D		31-AUG-2017	F10	31-AUG-2026		Common Stock		5899.0				0.0				D			
