ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001415889-24-020938	1871943	Performance Restricted Stock Units			F4				F11		F11	Class A Common Stock		1665.0				1665.0				D			
0001415889-24-020938	1871942	Restricted Stock Units			F2				F10		F10	Class A Common Stock		1665.0				1665.0				D			
0001415889-24-020938	1871941	Performance Restricted Stock Units			F4				F9		F9	Class A Common Stock		809.0				809.0				D			
0001415889-24-020938	1871940	Performance Restricted Stock Units			F4				F8		F8	Class A Common Stock		809.0				809.0				D			
0001415889-24-020938	1871939	Restricted Stock Units			F2				F7		F7	Class A Common Stock		540.0				540.0				D			
0001415889-24-020938	1871937	Performance Restricted Stock Units			F4				F5		F5	Class A Common Stock		698.0				698.0				D			
0001415889-24-020938	1871936	Restricted Stock Units			F2				F3		F3	Class A Common Stock		233.0				233.0				D			
0001415889-24-020938	1871935	Stock Options (Right to Buy)		182.3					F1	06-MAR-2026		Class A Common Stock		5739.0				5739.0				D			
0001415889-24-020938	1871934	Stock Options (Right to Buy)		156.5					F1	06-MAR-2025		Class A Common Stock		3821.0				3821.0				D			
0001837240-24-000172	1917110	Symbotic Holdings Units	F1, F2		F1, F2				F1, F2		F1, F2	Class A Common Stock		214036.0				214036.0				D		By Spouse	F10, F9
0001837240-24-000172	1917111	Symbotic Holdings Units	F1, F2		F1, F2				F1, F2		F1, F2	Class A Common Stock		180000.0				180000.0				I			
0001415889-24-020935	1843056	Restricted Stock Units			F3				F10		F10	Class A Common Stock		1665.0								D			
0001415889-24-020935	1843053	Restricted Stock Units			F3				F7		F7	Class A Common Stock		540.0								D			
0001415889-24-020935	1843052	Performance Restricted Stock Units			F5				F6		F6	Class A Common Stock		698.0								D			
0001415889-24-020935	1843057	Performance Restricted Stock Units			F5				F11		F11	Class A Common Stock		1665.0								D			
0001415889-24-020935	1843050	Restricted Stock Units			F3				F2		F2	Class A Common Stock		233.0								D			
0001415889-24-020935	1843049	Stock Options (Right to Buy)		182.3					F1	06-MAR-2026		Class A Common Stock		5739.0								D			
0001415889-24-020935	1843048	Stock Options (Right to Buy)		156.5					F1	06-MAR-2025		Class A Common Stock		3821.0								D			
0001415889-24-020935	1843055	Performance Restricted Stock Units			F5				F9		F9	Class A Common Stock		809.0								D			
0001415889-24-020935	1843054	Performance Restricted Stock Units			F5				F8		F8	Class A Common Stock		809.0								D			
