ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001618756-24-000087	1776179	Restricted Share Units			F6				F9		F9	Common Shares		5467.63				5467.63				D			
0001618756-24-000087	1776177	Restricted Share Units			F6				F7		F7	Common Shares		16826.17				16826.17				D			
0001618756-24-000087	1776178	Performance Share Units			F8			21-FEB-2025		21-FEB-2025		Common Shares		232807.67				232807.67				D			
0001127602-24-014683	1905144	Employee Stock Option (right to buy)		5.5				11-OCT-2019		17-MAY-2026		Heritage Commerce Corp - Common Stock		2470.0				2470.0				D			
0001127602-24-014683	1905147	Employee Stock Option (right to buy)		10.31				11-OCT-2019		08-MAY-2029		Heritage Commerce Corp - Common Stock		2470.0				2470.0				D			
0001127602-24-014683	1905146	Employee Stock Option (right to buy)		10.77				11-OCT-2019		08-MAY-2028		Heritage Commerce Corp - Common Stock		2470.0				2470.0				D			
0001127602-24-014683	1905143	Employee Stock Option (right to buy)		4.92				11-OCT-2019		19-MAY-2025		Heritage Commerce Corp - Common Stock		2470.0				2470.0				D			
0001127602-24-014683	1905142	Employee Stock Option (right to buy)		4.85				11-OCT-2019		31-DEC-2024		Heritage Commerce Corp - Common Stock		2470.0				2470.0				D			
0001127602-24-014683	1905145	Employee Stock Option (right to buy)		7.12				11-OCT-2019		16-MAY-2027		Heritage Commerce Corp - Common Stock		2470.0				2470.0				D			
0000950170-24-056087	1876072	Warrants to Purchase Common Stock	F1	0.01				01-MAY-2024		01-MAY-2034		Common Stock		1786582.0								I		By HPC III Kaizen LP	F3, F2
0000950170-24-056087	1876073	Warrants to Purchase Common Stock	F1	10.0				01-MAY-2024		01-MAY-2029		Common Stock		1000000.0								I		By HPC III Kaizen LP	F3, F2
0000950170-24-056076	1964814	Class B Common Stock		0.0					F2		F2	Class A Common Stock		9297537.0								D			
0000950170-24-056073	1949563	Employee Stock Option (Right to Buy)		2.39					F1	27-JUN-2030		Class B Common Stock		12204.0								D			
0000950170-24-056073	1949562	Employee Stock Option (Right to Buy)		2.39					F1	31-DEC-2029		Class B Common Stock		2000.0								D			
0000950170-24-056071	1953105	Employee Stock Option (Right to Buy)		2.39					F2	21-OCT-2029		Class B Common Stock		2000.0								D			
0000950170-24-056071	1953104	Employee Stock Option (Right to Buy)		2.39					F2	30-SEP-2029		Class B Common Stock		148000.0								D			
0000950170-24-056066	1796299	Class A Units			F10				F10		F10	Class A Common Stock		51802896.0				51802896.0				D		Ernest Irrevocable 2004 Trust III	
0000950170-24-056066	1796300	Class A Units			F11				F11		F11	Class A Common Stock		14792526.0				14792526.0				I		Ernest C. Garcia III Multi-Generational Trust III	
0000950170-24-056066	1796301	Class A Units			F12				F12		F12	Class A Common Stock		14940000.0				14940000.0				I		ECG II SPE, LLC	
0000950170-24-056066	1796302	Class A Units			F13				F13		F13	Class A Common Stock		10000000.0				10000000.0				I			
0000950170-24-056057	1797504	Class B Common Stock		0.0					F2		F2	Class A Common Stock		9454413.0								D			
0001104659-24-058940	1763102	Class B Common Stock			F1				F1		F1	Class A Common Stock		2478738.0				2478738.0				I		See footnote	F13
0001104659-24-058940	1763103	Class B Common Stock			F1				F1		F1	Class A Common Stock		4000000.0				4000000.0				I		See footnote	F14
0001104659-24-058940	1763104	Class B Common Stock			F1				F1		F1	Class A Common Stock		3900000.0				3900000.0				I		See footnote	F15
0001104659-24-058940	1763100	Class B Common Stock			F1				F1		F1	Class A Common Stock		6928408.0				6928408.0				I		See footnote	F11
0001104659-24-058940	1763101	Class B Common Stock			F1				F1		F1	Class A Common Stock		1060000.0				1060000.0				I		See footnote	F12
0001071739-24-000102	1801546	Common Stock Option (right to buy)		81.85					F3	15-DEC-2031		Common Stock		13449.0				13449.0				D			
