holding_months,rebalance_date,ticker,trade_size,signal_prob_up,signal_median_return,buy_date,buy_price,sell_target,sell_date,sell_price,shares,invested,value,pnl,return_pct,open,spy_buy_price,spy_sell_price,spy_value,spy_pnl,spy_return_pct,excess_return,beat_spy
2,2025-12-01,AAPL,32500.0,0.706,0.021073733096371505,2025-12-01,282.575,2026-02-01,2026-02-02,269.5093,0.353888,100.0,95.3762,-4.6238,-0.046238,False,676.4185,693.516,102.5276,2.5276,0.025276,-0.071514,False
2,2025-12-01,CSCO,32500.0,0.667,0.016163207998135753,2025-12-01,75.2276,2026-02-01,2026-02-02,80.2054,1.329299,100.0,106.6169,6.6169,0.066169,False,676.4185,693.516,102.5276,2.5276,0.025276,0.040893,True
2,2025-12-15,JNJ,32500.0,0.849,0.0257925018263514,2025-12-15,211.8193,2026-02-15,2026-02-17,240.6592,0.472101,100.0,113.6154,13.6154,0.136154,False,676.8759,680.9902,100.6078,0.6078,0.006078,0.130075,True
2,2025-12-15,COF,75000.0,0.567,0.007650550759454866,2025-12-15,237.8748,2026-02-15,2026-02-17,205.0717,0.420389,100.0,86.2099,-13.7901,-0.137901,False,676.8759,680.9902,100.6078,0.6078,0.006078,-0.143979,False
2,2026-01-01,GOOGL,175000.0,0.708,0.028974691663207652,2026-01-02,314.7403,2026-03-01,2026-03-02,306.1215,0.317722,100.0,97.2616,-2.7384,-0.027384,False,681.3093,684.5106,100.4699,0.4699,0.004699,-0.032083,False
2,2026-01-01,NVDA,8000.0,0.501,0.00026891810838791663,2026-01-02,188.6199,2026-03-01,2026-03-02,182.2577,0.530167,100.0,96.627,-3.373,-0.03373,False,681.3093,684.5106,100.4699,0.4699,0.004699,-0.038429,False
2,2026-01-15,PRU,15000000.0,0.736,0.017773383395647713,2026-01-15,113.3272,2026-03-15,2026-03-16,91.9666,0.8824,100.0,81.1513,-18.8487,-0.188487,False,690.3546,667.2079,96.6471,-3.3529,-0.033529,-0.154958,False
2,2026-01-15,ACN,8000.0,0.641,0.01649994310430447,2026-01-15,285.3501,2026-03-15,2026-03-16,197.634,0.350447,100.0,69.2602,-30.7398,-0.307398,False,690.3546,667.2079,96.6471,-3.3529,-0.033529,-0.273869,False
2,2026-02-01,GOOGL,750000.0,0.698,0.023655764099067778,2026-02-02,343.2432,2026-04-01,2026-04-01,297.2125,0.291339,100.0,86.5895,-13.4105,-0.134105,False,693.516,655.24,94.4809,-5.5191,-0.055191,-0.078914,False
2,2026-02-01,T,32500.0,0.611,0.009840774341263403,2026-02-02,26.0276,2026-04-01,2026-04-01,28.0168,3.842077,100.0,107.6426,7.6426,0.076426,False,693.516,655.24,94.4809,-5.5191,-0.055191,0.131617,True
2,2026-02-15,IFF,175000.0,0.719,0.028192771912982417,2026-02-17,82.2542,2026-04-15,2026-04-15,71.53,1.215743,100.0,86.9621,-13.0379,-0.130379,False,680.9902,699.94,102.7827,2.7827,0.027827,-0.158206,False
2,2026-02-15,ETN,75000.0,0.619,0.01644034161070862,2026-02-17,389.1975,2026-04-15,2026-04-15,393.9713,0.256939,100.0,101.2266,1.2266,0.012266,False,680.9902,699.94,102.7827,2.7827,0.027827,-0.015561,False
2,2026-03-01,MU,175000.0,0.703,0.06241040664267716,2026-03-02,412.4967,2026-05-01,2026-05-01,542.21,0.242426,100.0,131.4459,31.4459,0.314459,False,684.5106,720.65,105.2796,5.2796,0.052796,0.261663,True
2,2026-03-01,LRCX,32500.0,0.682,0.04527807643948378,2026-03-02,230.7236,2026-05-01,2026-05-01,256.72,0.433419,100.0,111.2673,11.2673,0.112673,False,684.5106,720.65,105.2796,5.2796,0.052796,0.059878,True
2,2026-03-15,BK,75000.0,0.526,0.002373706105123885,2026-03-16,114.9238,2026-05-15,2026-05-15,135.02,0.870142,100.0,117.4865,17.4865,0.174865,False,667.2079,739.17,110.7856,10.7856,0.107856,0.06701,True
2,2026-04-01,PFE,32500.0,0.655,0.015892193759035944,2026-04-01,28.0864,2026-06-01,2026-06-01,25.63,3.560444,100.0,91.2542,-8.7458,-0.087458,False,655.24,758.54,115.7652,15.7652,0.157652,-0.24511,False
2,2026-05-01,GLW,32500.0,0.617,0.036218625793188464,2026-05-01,158.0178,2026-07-01,2026-06-12,179.2,0.63284,100.0,113.4049,13.4049,0.134049,True,720.65,741.75,102.9279,2.9279,0.029279,0.10477,True
2,2026-05-01,C,32500.0,0.576,0.010850752182865353,2026-05-01,126.84,2026-07-01,2026-06-12,139.83,0.788395,100.0,110.2412,10.2412,0.102412,True,720.65,741.75,102.9279,2.9279,0.029279,0.073133,True
2,2026-05-15,AMD,32500.0,0.763,0.08809886640354714,2026-05-15,424.1,2026-07-15,2026-06-12,511.57,0.235793,100.0,120.6249,20.6249,0.206249,True,739.17,741.75,100.349,0.349,0.00349,0.202758,True
2,2026-05-15,KEYS,32500.0,0.666,0.04102265868910093,2026-05-15,349.01,2026-07-15,2026-06-12,350.67,0.286525,100.0,100.4756,0.4756,0.004756,True,739.17,741.75,100.349,0.349,0.00349,0.001266,True
2,2026-06-01,TXN,8000.0,0.716,0.049561145078502955,2026-06-01,293.2,2026-08-01,2026-06-12,301.12,0.341064,100.0,102.7012,2.7012,0.027012,True,758.54,741.75,97.7865,-2.2135,-0.022135,0.049147,True
2,2026-06-01,AAPL,8000.0,0.717,0.021055134333178405,2026-06-01,306.31,2026-08-01,2026-06-12,291.13,0.326467,100.0,95.0442,-4.9558,-0.049558,True,758.54,741.75,97.7865,-2.2135,-0.022135,-0.027423,False
3,2025-10-01,GOOGL,175000.0,0.815,0.03962101200951773,2025-10-01,244.4218,2026-01-01,2026-01-02,314.7403,0.409129,100.0,128.7694,28.7694,0.287694,False,664.6655,681.3093,102.5041,2.5041,0.025041,0.262653,True
3,2025-10-01,AAPL,175000.0,0.705,0.023013443195879946,2025-10-01,254.7294,2026-01-01,2026-01-02,270.5074,0.392574,100.0,106.194,6.194,0.06194,False,664.6655,681.3093,102.5041,2.5041,0.025041,0.0369,True
3,2025-10-15,GOOGL,175000.0,0.764,0.033457967867530636,2025-10-15,250.5398,2026-01-15,2026-01-15,332.3474,0.399138,100.0,132.6525,32.6525,0.326525,False,661.404,690.3546,104.3771,4.3771,0.043771,0.282754,True
3,2025-10-15,AAPL,175000.0,0.662,0.01831919421285555,2025-10-15,248.6366,2026-01-15,2026-01-15,257.7311,0.402193,100.0,103.6578,3.6578,0.036578,False,661.404,690.3546,104.3771,4.3771,0.043771,-0.007194,False
3,2025-11-01,STX,32500.0,0.731,0.06257411444673466,2025-11-03,264.3939,2026-02-01,2026-02-02,432.1961,0.378224,100.0,163.4667,63.4667,0.634667,False,679.4711,693.516,102.067,2.067,0.02067,0.613997,True
3,2025-11-01,GOOGL,32500.0,0.797,0.040357915046904225,2025-11-03,283.166,2026-02-01,2026-02-02,343.2432,0.35315,100.0,121.2163,21.2163,0.212163,False,679.4711,693.516,102.067,2.067,0.02067,0.191492,True
