rule,rebalance_date,ticker,signal_prob_up,signal_median_return,buy_date,buy_price,exit_date,exit_price,exit_reason,hold_days,invested,value,pnl,return_pct,open,spy_value,spy_pnl,spy_return_pct,excess_return,beat_spy
atr_k4,2026-01-01,VZ,0.502,0.00024508398959999234,2026-01-02,39.2388,2026-04-01,48.6581,atr_trail,89,100.0,124.0052,24.0052,0.240052,False,96.1736,-3.8264,-0.038264,0.278316,True
atr_k4,2026-01-15,AA,0.74,0.06375577153647383,2026-01-15,63.6039,2026-03-23,55.9904,atr_trail,67,100.0,88.0299,-11.9701,-0.119701,False,94.9338,-5.0662,-0.050662,-0.06904,False
atr_k4,2026-01-15,DLTR,0.763,0.042553304039172346,2026-01-15,141.21,2026-01-22,126.79,atr_trail,7,100.0,89.7883,-10.2117,-0.102117,False,99.5291,-0.4709,-0.004709,-0.097408,False
atr_k4,2026-01-15,GOOGL,0.763,0.0342303112398914,2026-01-15,332.3474,2026-02-06,322.4403,atr_trail,22,100.0,97.019,-2.981,-0.02981,False,99.766,-0.234,-0.00234,-0.027469,False
atr_k4,2026-01-15,CNC,0.643,0.030825705095671507,2026-01-15,47.27,2026-02-04,40.96,atr_trail,20,100.0,86.6512,-13.3488,-0.133488,False,99.126,-0.874,-0.00874,-0.124749,False
atr_k4,2026-01-15,GS,0.748,0.03079086959876176,2026-01-15,966.4916,2026-02-05,881.8619,atr_trail,21,100.0,91.2436,-8.7564,-0.087564,False,97.888,-2.112,-0.02112,-0.066444,False
atr_k4,2026-01-15,BMY,0.722,0.030129828379739543,2026-01-15,56.0421,2026-03-12,58.3484,atr_trail,56,100.0,104.1152,4.1152,0.041152,False,96.2181,-3.7819,-0.037819,0.078971,True
atr_k4,2026-01-15,DY,0.667,0.027113827655952827,2026-01-15,365.65,2026-03-05,369.98,atr_trail,49,100.0,101.1842,1.1842,0.011842,False,98.4211,-1.5789,-0.015789,0.027631,True
atr_k4,2026-01-15,C,0.698,0.022122469354102225,2026-01-15,116.3008,2026-02-13,110.3381,atr_trail,29,100.0,94.873,-5.127,-0.05127,False,98.4846,-1.5154,-0.015154,-0.036116,False
atr_k4,2026-01-15,DOV,0.686,0.021146833831949374,2026-01-15,204.8861,2026-03-05,215.0525,atr_trail,49,100.0,104.962,4.962,0.04962,False,98.4211,-1.5789,-0.015789,0.065409,True
atr_k4,2026-01-15,PUK,0.739,0.01995139177227845,2026-01-15,31.4633,2026-02-12,29.3908,atr_trail,28,100.0,93.4128,-6.5872,-0.065872,False,98.4153,-1.5847,-0.015847,-0.050025,False
atr_k4,2026-01-15,TSM,0.64,0.017887244268596447,2026-01-15,339.8841,2026-03-06,337.1482,atr_trail,50,100.0,99.1951,-0.8049,-0.008049,False,97.1311,-2.8689,-0.028689,0.02064,True
atr_k4,2026-01-15,PRU,0.736,0.01777338322649835,2026-01-15,113.3272,2026-01-20,105.4626,atr_trail,5,100.0,93.0602,-6.9398,-0.069398,False,97.8822,-2.1178,-0.021178,-0.04822,False
atr_k4,2026-01-15,DRI,0.652,0.016883595240862803,2026-01-15,212.6926,2026-01-28,194.9988,atr_trail,13,100.0,91.6811,-8.3189,-0.083189,False,100.4594,0.4594,0.004594,-0.087783,False
atr_k4,2026-01-15,ACN,0.641,0.01649994310430447,2026-01-15,285.3501,2026-02-03,239.1817,atr_trail,19,100.0,83.8204,-16.1796,-0.161796,False,99.6085,-0.3915,-0.003915,-0.157881,False
atr_k4,2026-01-15,DVN,0.607,0.01525786063257284,2026-01-15,36.1313,2026-04-09,47.88,atr_trail,84,100.0,132.5167,32.5167,0.325167,False,98.4871,-1.5129,-0.015129,0.340297,True
atr_k4,2026-01-15,BA,0.604,0.015204637769681728,2026-01-15,247.74,2026-01-30,233.72,atr_trail,15,100.0,94.3408,-5.6592,-0.056592,False,99.961,-0.039,-0.00039,-0.056202,False
atr_k4,2026-01-15,DE,0.622,0.013910627533078035,2026-01-15,513.538,2026-03-13,575.8159,atr_trail,57,100.0,112.1272,12.1272,0.121272,False,95.6735,-4.3265,-0.043265,0.164538,True
atr_k4,2026-01-15,CVX,0.608,0.01061473002867519,2026-01-15,163.0569,2026-04-08,191.1393,atr_trail,83,100.0,117.2225,17.2225,0.172225,False,97.9221,-2.0779,-0.020779,0.193004,True
atr_k4,2026-01-15,GLOB,0.565,0.010529960645238035,2026-01-15,67.48,2026-02-05,57.72,atr_trail,21,100.0,85.5365,-14.4635,-0.144635,False,97.888,-2.112,-0.02112,-0.123516,False
atr_k4,2026-01-15,DHR,0.629,0.010237461665582037,2026-01-15,239.3797,2026-01-28,224.0624,atr_trail,13,100.0,93.6012,-6.3988,-0.063988,False,100.4594,0.4594,0.004594,-0.068581,False
atr_k4,2026-01-15,XLV,0.67,0.010071041931917657,2026-01-15,156.3174,2026-03-05,153.2799,atr_trail,49,100.0,98.0568,-1.9432,-0.019432,False,98.4211,-1.5789,-0.015789,-0.003642,False
atr_k4,2026-01-15,CSCO,0.595,0.008131598839709264,2026-01-15,74.8444,2026-02-12,74.5958,atr_trail,28,100.0,99.6678,-0.3322,-0.003322,False,98.4153,-1.5847,-0.015847,0.012525,True
atr_k4,2026-01-15,XLP,0.607,0.005705955768826154,2026-01-15,81.909,2026-03-05,84.9319,atr_trail,49,100.0,103.6907,3.6907,0.036907,False,98.4211,-1.5789,-0.015789,0.052696,True
atr_k4,2026-01-15,JPM,0.558,0.005349863138754518,2026-01-15,307.6854,2026-02-23,296.1544,atr_trail,39,100.0,96.2523,-3.7477,-0.037477,False,98.5771,-1.4229,-0.014229,-0.023247,False
atr_k4,2026-01-15,CF,0.547,0.005186351560295899,2026-01-15,85.7899,2026-04-14,118.4763,atr_trail,89,100.0,138.1005,38.1005,0.381005,False,100.5947,0.5947,0.005947,0.375059,True
atr_k4,2026-01-15,MMM,0.553,0.0038065619159644015,2026-01-15,169.4593,2026-01-20,154.6229,atr_trail,5,100.0,91.2449,-8.7551,-0.087551,False,97.8822,-2.1178,-0.021178,-0.066374,False
atr_k4,2026-01-15,WM,0.545,0.0033152346543994238,2026-01-15,218.0443,2026-03-23,226.5482,atr_trail,67,100.0,103.9001,3.9001,0.039001,False,94.9338,-5.0662,-0.050662,0.089663,True
atr_k4,2026-02-01,XOM,0.768,0.026895450873499982,2026-02-02,136.5567,2026-04-08,155.1668,atr_trail,65,100.0,113.6281,13.6281,0.136281,False,97.4758,-2.5242,-0.025242,0.161523,True
atr_k4,2026-02-01,GOOGL,0.698,0.023655762915464784,2026-02-02,343.2432,2026-02-06,322.4403,atr_trail,4,100.0,93.9393,-6.0607,-0.060607,False,99.3112,-0.6888,-0.006888,-0.053719,False
