rule,rebalance_date,ticker,signal_prob_up,signal_median_return,buy_date,buy_price,exit_date,exit_price,exit_reason,hold_days,invested,value,pnl,return_pct,open,spy_value,spy_pnl,spy_return_pct,excess_return,beat_spy
trail_10,2026-05-01,C,0.576,0.010850752182865353,2026-05-01,126.84,2026-06-12,139.83,open,42,100.0,110.2412,10.2412,0.102412,True,102.9279,2.9279,0.029279,0.073133,True
trail_10,2026-05-15,AMD,0.763,0.08809886640354714,2026-05-15,424.1,2026-06-05,466.38,trail,21,100.0,109.9693,9.9693,0.099693,False,99.7808,-0.2192,-0.002192,0.101885,True
trail_10,2026-05-15,KEYS,0.666,0.04102265868910093,2026-05-15,349.01,2026-06-12,350.67,open,28,100.0,100.4756,0.4756,0.004756,True,100.349,0.349,0.00349,0.001266,True
trail_10,2026-06-01,TXN,0.716,0.049561145078502955,2026-06-01,293.2,2026-06-12,301.12,open,11,100.0,102.7012,2.7012,0.027012,True,97.7865,-2.2135,-0.022135,0.049147,True
trail_10,2026-06-01,AAPL,0.717,0.021055134333178405,2026-06-01,306.31,2026-06-12,291.13,open,11,100.0,95.0442,-4.9558,-0.049558,True,97.7865,-2.2135,-0.022135,-0.027423,False
trail_15,2025-10-01,GOOGL,0.815,0.03962102370268883,2025-10-01,244.4218,2026-03-24,290.2666,trail,174,100.0,118.7565,18.7565,0.187565,False,98.272,-1.728,-0.01728,0.204845,True
trail_15,2025-10-01,AAPL,0.705,0.02301343664636124,2025-10-01,254.7293,2026-04-01,255.3947,time,182,100.0,100.2612,0.2612,0.002612,False,98.5819,-1.4181,-0.014181,0.016793,True
trail_15,2025-10-15,GOOGL,0.764,0.03345797853406318,2025-10-15,250.5398,2026-03-24,290.2666,trail,160,100.0,115.8565,15.8565,0.158565,False,98.7566,-1.2434,-0.012434,0.170999,True
trail_15,2025-10-15,AAPL,0.662,0.018319187647050317,2025-10-15,248.6366,2026-04-15,266.1848,time,182,100.0,107.0578,7.0578,0.070578,False,105.8264,5.8264,0.058264,0.012314,True
trail_15,2025-11-01,STX,0.731,0.06257411444673466,2025-11-03,264.3939,2025-11-20,239.453,trail,17,100.0,90.5668,-9.4332,-0.094332,False,95.4913,-4.5087,-0.045087,-0.049245,False
trail_15,2025-11-01,GOOGL,0.797,0.04035792914395753,2025-11-03,283.1659,2026-03-24,290.2666,trail,141,100.0,102.5076,2.5076,0.025076,False,96.1306,-3.8694,-0.038694,0.06377,True
trail_15,2025-11-15,GOOGL,0.752,0.03530521948545928,2025-11-17,284.4634,2026-03-24,290.2666,trail,127,100.0,102.0401,2.0401,0.020401,False,98.6824,-1.3176,-0.013176,0.033576,True
trail_15,2025-11-15,AAPL,0.708,0.021665805844635955,2025-11-17,266.964,2026-05-18,297.84,time,182,100.0,111.5656,11.5656,0.115656,False,111.5952,11.5952,0.115952,-0.000296,False
trail_15,2025-12-01,AAPL,0.706,0.02107373330221396,2025-12-01,282.575,2026-06-01,306.31,time,182,100.0,108.3995,8.3995,0.083995,False,112.1406,12.1406,0.121406,-0.037411,False
trail_15,2025-12-01,CSCO,0.667,0.016163207998135753,2025-12-01,75.2276,2026-06-01,121.33,time,182,100.0,161.2838,61.2838,0.612838,False,112.1406,12.1406,0.121406,0.491432,True
trail_15,2025-12-15,JNJ,0.849,0.025792512729819084,2025-12-15,211.8193,2026-06-12,240.87,open,179,100.0,113.7149,13.7149,0.137149,True,109.5843,9.5843,0.095843,0.041305,True
trail_15,2025-12-15,COF,0.567,0.007650550602458006,2025-12-15,237.8748,2026-01-23,215.5465,trail,39,100.0,90.6134,-9.3866,-0.093866,False,101.5478,1.5478,0.015478,-0.109344,False
trail_15,2026-01-01,GOOGL,0.708,0.028974689822372612,2026-01-02,314.7403,2026-03-24,290.2666,trail,81,100.0,92.2242,-7.7758,-0.077758,False,95.8713,-4.1287,-0.041287,-0.036471,False
trail_15,2026-01-01,NVDA,0.501,0.00026891863854916487,2026-01-02,188.6199,2026-03-30,164.9777,trail,87,100.0,87.4657,-12.5343,-0.125343,False,92.7582,-7.2418,-0.072418,-0.052925,False
trail_15,2026-01-15,PRU,0.736,0.017773383395647713,2026-01-15,113.3272,2026-03-06,95.8141,trail,50,100.0,84.5464,-15.4536,-0.154536,False,97.1311,-2.8689,-0.028689,-0.125846,False
trail_15,2026-01-15,ACN,0.641,0.01649994310430447,2026-01-15,285.3501,2026-02-03,239.1817,trail,19,100.0,83.8204,-16.1796,-0.161796,False,99.6085,-0.3915,-0.003915,-0.157881,False
trail_15,2026-02-01,GOOGL,0.698,0.023655762915464784,2026-02-02,343.2432,2026-03-24,290.2666,trail,50,100.0,84.5659,-15.4341,-0.154341,False,94.1838,-5.8162,-0.058162,-0.09618,False
trail_15,2026-02-01,T,0.611,0.009840774168441202,2026-02-02,26.0276,2026-05-15,24.03,trail,102,100.0,92.3251,-7.6749,-0.076749,False,106.583,6.583,0.06583,-0.142579,False
trail_15,2026-02-15,IFF,0.719,0.028192771912982417,2026-02-17,82.2542,2026-03-11,68.3165,trail,22,100.0,83.0554,-16.9446,-0.169446,False,99.0452,-0.9548,-0.009548,-0.159898,False
trail_15,2026-02-15,ETN,0.619,0.01644034161070862,2026-02-17,389.1975,2026-06-12,391.39,open,115,100.0,100.5633,0.5633,0.005633,True,108.9223,8.9223,0.089223,-0.083589,False
trail_15,2026-03-01,MU,0.703,0.06241040664267716,2026-03-02,412.4967,2026-03-25,381.9296,trail,23,100.0,92.5897,-7.4103,-0.074103,False,95.9547,-4.0453,-0.040453,-0.03365,False
trail_15,2026-03-01,LRCX,0.682,0.04527807643948378,2026-03-02,230.7236,2026-03-30,199.93,trail,28,100.0,86.6535,-13.3465,-0.133465,False,92.3243,-7.6757,-0.076757,-0.056709,False
trail_15,2026-03-15,BK,0.526,0.002373706105123885,2026-03-16,114.9238,2026-06-12,143.98,open,88,100.0,125.283,25.283,0.25283,True,111.1722,11.1722,0.111722,0.141107,True
trail_15,2026-04-01,PFE,0.655,0.015892193759035944,2026-04-01,28.0864,2026-06-12,26.21,open,72,100.0,93.3192,-6.6808,-0.066808,True,113.2028,13.2028,0.132028,-0.198836,False
